nodeName	altName	nodeAttr[nodesPresent, ]
gbr.140.40	protein phosphatase PP2A 55 kDa regulatory subunit isoform X2	turquoise
gbr.105.28_gbr.105.26	cGMP-dependent protein kinase 1 isoform X2	turquoise
gbr.6.57	guanine nucleotide-binding protein subunit alpha-13-like	turquoise
gbr.274.23	mitogen-activated protein kinase kinase kinase kinase 5-like isoform X6	turquoise
gbr.113.16_gbr.113.18	kinesin-like protein KIF13A isoform X3	turquoise
gbr.3.183	sal-like protein 1	turquoise
gbr.220.6	single-stranded DNA-binding protein 3-like isoform X13	turquoise
gbr.108.17	probable JmjC domain-containing histone demethylation protein 2C isoform X3	turquoise
gbr.142.24	trinucleotide repeat-containing gene 18 protein-like isoform X1	turquoise
gbr.49.32	forkhead box protein P1-like isoform X1	turquoise
gbr.182.11	myotubularin-related protein 13-like isoform X9	turquoise
gbr.7.51	ATP-binding cassette sub-family F member 1-like	turquoise
gbr.85.11_gbr.85.12	E3 ubiquitin-protein ligase HECTD1 isoform X2	turquoise
gbr.79.57	striatin-3 isoform X1	turquoise
gbr.44.41	golgin subfamily A member 4-like isoform X1	turquoise
gbr.510.6	eukaryotic translation initiation factor 4E	turquoise
gbr.28.63	A-kinase anchor protein 13-like	turquoise
gbr.368.5_gbr.368.6	inactive phospholipase C-like protein 2	turquoise
gbr.65.62	MAGUK p55 subfamily member 5-like isoform X1	turquoise
gbr.117.6_gbr.117.7	triple functional domain protein isoform X1	turquoise
gbr.93.24	caskin-2-like isoform X1	turquoise
gbr.38.52_gbr.38.51	inactive polyglycylase TTLL10	turquoise
gbr.139.81	potassium voltage-gated channel subfamily KQT member 4-like isoform X6	turquoise
gbr.191.41	protein kinase C iota type-like isoform X1	turquoise
gbr.524.2	serine/threonine-protein kinase Nek9-like	turquoise
gbr.88.43	serine/threonine-protein kinase SIK2-like	turquoise
gbr.324.16	plasma membrane calcium-transporting ATPase 2-like isoform X3	turquoise
gbr.38.85	ras-related protein M-Ras-like	turquoise
gbr.191.38_gbr.191.40	histone-lysine N-methyltransferase MECOM-like	turquoise
gbr.90.143	LIM domain-binding protein 2	turquoise
gbr.288.11	ubiquitin carboxyl-terminal hydrolase 7-like	turquoise
gbr.181.33	hepatoma-derived growth factor-related protein 2-like	turquoise
gbr.374.10	deleted in malignant brain tumors 1 protein-like isoform X1	turquoise
gbr.91.15	receptor-type tyrosine-protein phosphatase S isoform X10	turquoise
gbr.9.10	FERM domain-containing protein 4A-like isoform X2	turquoise
gbr.41.73	retinoid X receptor	turquoise
gbr.81.80	ras-related protein Rab-6A isoform X1	turquoise
gbr.50.77_gbr.50.73	DNA repair protein RAD51 homolog 2	turquoise
gbr.29.21	regulator of nonsense transcripts 1 isoform X2	turquoise
gbr.11.138	neurofilament heavy polypeptide-like	turquoise
gbr.319.26	ubiquitin-conjugating enzyme E2 Z-like	turquoise
gbr.75.33	cell division cycle and apoptosis regulator protein 1 isoform X1	turquoise
gbr.52.20	ankyrin repeat domain-containing protein 11-like	turquoise
gbr.454.9_gbr.454.12_gbr.454.15	cell cycle checkpoint control protein RAD9A	turquoise
gbr.475.5	inositol-trisphosphate 3-kinase B isoform X2	turquoise
gbr.388.10	afadin-like isoform X1	turquoise
gbr.72.69	TNF receptor-associated factor 3-like	turquoise
gbr.25.44	prickle planar cell polarity protein 3 isoform X1	turquoise
gbr.5.36	protein phosphatase 1 regulatory subunit 12A-like isoform X6	turquoise
gbr.1.177	calreticulin-like	turquoise
gbr.164.30	C-myc promoter-binding protein isoform X1	turquoise
gbr.43.13	SRSF protein kinase 1	turquoise
gbr.300.10	chloride channel protein C-like isoform X1	turquoise
gbr.139.67_gbr.139.68	oxysterol-binding protein-related protein 1 isoform X1	turquoise
gbr.22.36_gbr.22.37	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like isoform X2	turquoise
gbr.3.13	protein FAM193A-like isoform X2	turquoise
gbr.696.4	uncharacterized protein LOC110990932, partial	turquoise
gbr.116.4	autism susceptibility gene 2 protein-like isoform X17	turquoise
gbr.218.14	terminal uridylyltransferase 4 isoform X8	turquoise
gbr.34.4	kinesin heavy chain-like isoform X1	turquoise
gbr.6.240	SEC14-like protein 5 isoform X1	turquoise
gbr.4.28_gbr.4.27	diacylglycerol kinase zeta-like isoform X6	turquoise
gbr.24.5	calmodulin-regulated spectrin-associated protein 1-like isoform X1	turquoise
gbr.143.31	RNA demethylase ALKBH5	turquoise
gbr.171.42	protein SON-like isoform X2	turquoise
gbr.56.21	POU domain, class 6, transcription factor 1-like isoform X1	turquoise
gbr.142.15	E3 ubiquitin-protein ligase SMURF2	turquoise
gbr.172.41	S-adenosylhomocysteine hydrolase-like protein 1 isoform X2	turquoise
gbr.4.77	vitellogenin-like isoform X2	turquoise
gbr.1.11	AP-3 complex subunit delta-1-like isoform X3	turquoise
gbr.58.64	ubiquitin carboxyl-terminal hydrolase 48 isoform X1	turquoise
gbr.334.11	uncharacterized protein LOC110987855	turquoise
gbr.124.43_gbr.124.40_gbr.124.41	serine/threonine-protein kinase mTOR isoform X2	turquoise
gbr.2.104	CCR4-NOT transcription complex subunit 6-like	turquoise
gbr.564.3	basic salivary proline-rich protein 3-like	turquoise
gbr.64.47	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1	turquoise
gbr.583.1	DNA polymerase zeta catalytic subunit isoform X3	turquoise
gbr.51.67	E3 ubiquitin-protein ligase MIB2-like isoform X2	turquoise
gbr.630.6	MAP kinase-activating death domain protein-like isoform X4	turquoise
gbr.82.41	5'-AMP-activated protein kinase subunit gamma-1-like isoform X3	turquoise
gbr.39.12	RNA-binding protein 5-B-like isoform X2	turquoise
gbr.373.11	Hermansky-Pudlak syndrome 1 protein homolog	turquoise
gbr.109.29	enhancer of polycomb homolog 1-like	turquoise
gbr.147.5_gbr.147.8	snRNA-activating protein complex subunit 4	turquoise
gbr.431.5	myotubularin-related protein 8	turquoise
gbr.25.122	MAP7 domain-containing protein 1-like isoform X3	turquoise
gbr.355.7	ubiquitin carboxyl-terminal hydrolase 8-like	turquoise
gbr.37.122	ras GTPase-activating protein-binding protein 2	turquoise
gbr.89.34	histone-lysine N-methyltransferase 2E-like	turquoise
gbr.441.1	chromodomain-helicase-DNA-binding protein 8-like	turquoise
gbr.95.39	nucleoside diphosphate-linked moiety X motif 6	turquoise
gbr.91.8	Receptor-type tyrosine-protein phosphatase F	turquoise
gbr.98.90	mediator of RNA polymerase II transcription subunit 13	turquoise
gbr.92.8	protein SMG5	turquoise
gbr.222.15	semaphorin-1A-like isoform X10	turquoise
gbr.47.2	neurogenic locus notch homolog protein 1-like isoform X2	turquoise
gbr.287.31	---NA---	turquoise
gbr.350.22	kinesin-like protein KIF1A isoform X2	turquoise
gbr.128.19	brain protein I3-like	turquoise
gbr.83.54	tumor necrosis factor alpha-induced protein 8-like protein 1	turquoise
gbr.102.10	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase-like isoform X1	turquoise
gbr.399.2	---NA---	turquoise
gbr.285.1	2-oxoglutarate dehydrogenase, mitochondrial-like isoform X1	turquoise
gbr.113.11	serine/threonine-protein kinase 3-like isoform X1	turquoise
gbr.49.47	ADP-ribosylation factor 4-like	turquoise
gbr.110.4	Golgi resident protein GCP60-like isoform X2	turquoise
gbr.142.68	anonymous antigen 3	turquoise
gbr.53.29_gbr.53.30	splicing factor, suppressor of white-apricot homolog isoform X1	turquoise
gbr.184.25	leukotriene-B4 omega-hydroxylase 3-like	turquoise
gbr.422.17	transcriptional regulator ATRX	turquoise
gbr.312.4	basic helix-loop-helix domain-containing protein USF3	turquoise
gbr.63.70	proteasome subunit alpha type-6	turquoise
gbr.134.15	serine/threonine-protein kinase LATS1 isoform X1	turquoise
gbr.176.12_gbr.176.13	serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform-like isoform X1	turquoise
gbr.70.52	receptor-type tyrosine-protein phosphatase N2-like	turquoise
gbr.24.95	---NA---	turquoise
gbr.12.68	protein phosphatase 1 regulatory subunit 37 isoform X1	turquoise
gbr.146.14	protein capicua homolog isoform X1	turquoise
gbr.263.9	apoptosis-inducing factor 3-like	turquoise
gbr.109.19	disks large-associated protein 1-like	turquoise
gbr.224.12	serine/threonine-protein phosphatase 4 regulatory subunit 1 isoform X1	turquoise
gbr.265.11	cip1-interacting zinc finger protein	turquoise
gbr.88.49	serine/threonine-protein kinase SIK3	turquoise
gbr.551.3	prickle-like protein 2	turquoise
gbr.75.46_gbr.75.47	disks large homolog 5-like isoform X3	turquoise
gbr.32.50	GDP-mannose 4,6 dehydratase-like	turquoise
gbr.109.41	atrial natriuretic peptide receptor 1-like	turquoise
gbr.568.1	DNA mismatch repair protein Msh3	turquoise
gbr.107.24	synaptic functional regulator FMR1 isoform X3	turquoise
gbr.21.4	microtubule-associated protein futsch-like	turquoise
gbr.56.56_gbr.56.55	adenylate cyclase type 5	turquoise
gbr.231.26	glutamic acid-rich protein-like	turquoise
gbr.6.159	globin-like	turquoise
gbr.232.16	actin-binding LIM protein 2-like isoform X7	turquoise
gbr.24.8	regulating synaptic membrane exocytosis protein 2-like isoform X4	turquoise
gbr.154.27	inverted formin-2-like isoform X3	turquoise
gbr.92.28	MAU2 chromatid cohesion factor homolog	turquoise
gbr.280.5	lachesin-like isoform X2	turquoise
gbr.6.226_gbr.6.227	xylosyltransferase 1	turquoise
gbr.19.124	zinc finger protein 594-like isoform X1	turquoise
gbr.372.13	ankyrin-1-like isoform X5	turquoise
gbr.1.246	protein sidekick-2-like isoform X1	turquoise
gbr.181.3	LDLR chaperone MESD	turquoise
gbr.33.87_gbr.33.88	cAMP-dependent protein kinase type II regulatory subunit-like isoform X2	turquoise
gbr.24.43	protein dispatched homolog 3	turquoise
gbr.306.14_gbr.306.15	disheveled-associated activator of morphogenesis 1-A-like isoform X1	turquoise
gbr.18.13	tyrosine-protein kinase Src42A	turquoise
gbr.66.43	gastrula zinc finger protein XlCGF8.2DB-like	turquoise
gbr.256.3	ETS-related transcription factor Elf-1-like isoform X1	turquoise
gbr.91.20	receptor-type tyrosine-protein phosphatase delta-like	turquoise
gbr.257.19	protein phosphatase 1B isoform X2	turquoise
gbr.225.33	bromodomain adjacent to zinc finger domain protein 2B-like isoform X1	turquoise
gbr.116.11	ubiquitin carboxyl-terminal hydrolase 32 isoform X2	turquoise
gbr.225.20	CLIP-associating protein 1-like isoform X1	turquoise
gbr.405.2	ras-specific guanine nucleotide-releasing factor RalGPS1-like isoform X1	turquoise
gbr.9.88	supervillin isoform X2	turquoise
gbr.172.35	F-box DNA helicase 1-like	turquoise
gbr.493.13	potassium channel subfamily T member 2-like isoform X6	turquoise
gbr.17.138_gbr.17.139	xylosyltransferase 2-like	turquoise
gbr.119.16	chloride channel CLIC-like protein 1 isoform X1	turquoise
gbr.420.17	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like	turquoise
gbr.32.17	centrosomal protein of 192 kDa isoform X1	turquoise
gbr.232.1	Protein FAM178A	turquoise
gbr.523.2	CD226 antigen-like	turquoise
gbr.394.10	TBC1 domain family member 4 isoform X1	turquoise
gbr.45.14_gbr.45.15	forkhead box protein K2	turquoise
gbr.129.29	RNA polymerase II elongation factor ELL	turquoise
gbr.171.1	transcription initiation protein SPT3 homolog isoform X1	turquoise
gbr.173.14	protein phosphatase 1H-like	turquoise
gbr.141.10	lateral signaling target protein 2 homolog isoform X5	turquoise
gbr.41.27	transforming growth factor beta receptor type 3	turquoise
gbr.690.1	uncharacterized protein LOC110975472	turquoise
gbr.90.56	cell growth-regulating nucleolar protein isoform X1	turquoise
gbr.20.88_gbr.20.89	rho GTPase-activating protein 32-like isoform X4	turquoise
gbr.590.2	lon protease homolog 2, peroxisomal-like	turquoise
gbr.271.33_gbr.271.34_gbr.271.31	ubiquitin carboxyl-terminal hydrolase 34 isoform X2	turquoise
gbr.7.5	discoidin domain-containing receptor 2-like isoform X1	turquoise
gbr.400.7_gbr.400.8	chondroitin sulfate synthase 1	turquoise
gbr.213.20	helicase with zinc finger domain 2-like	turquoise
gbr.1669.1	basic salivary proline-rich protein 3-like	turquoise
gbr.32.33	transmembrane protein 189-like	turquoise
gbr.99.60	probable splicing factor, arginine/serine-rich 6	turquoise
gbr.71.15	suppressor of cytokine signaling 5-like	turquoise
gbr.2.159	mucin-17-like isoform X1	turquoise
gbr.14.121	serrate RNA effector molecule homolog isoform X1	turquoise
gbr.421.3	DDB1- and CUL4-associated factor 8	turquoise
gbr.19.80	unconventional myosin-XVIIIa-like isoform X4	turquoise
gbr.59.40	cAMP-regulated phosphoprotein 21-like isoform X1	turquoise
gbr.43.60	tyrosine-protein phosphatase 99A-like isoform X1	turquoise
gbr.55.60	cystine/glutamate transporter-like	turquoise
gbr.26.86	ras-related C3 botulinum toxin substrate 1	turquoise
gbr.72.9	MAP/microtubule affinity-regulating kinase 3-like isoform X5	turquoise
gbr.72.82_gbr.72.83	leukocyte tyrosine kinase receptor isoform X1	turquoise
gbr.281.21	clathrin heavy chain 1 isoform X2	turquoise
gbr.154.47	AF4/FMR2 family member 1	turquoise
gbr.20.104	E3 ubiquitin-protein ligase TTC3-like	turquoise
gbr.63.11_gbr.63.9	transcription factor IIIB 90 kDa subunit-like	turquoise
gbr.18.35_gbr.18.37	mediator of DNA damage checkpoint protein 1-like isoform X1	turquoise
gbr.7.46	ER degradation-enhancing alpha-mannosidase-like protein 3 isoform X1	turquoise
gbr.259.5_gbr.259.8_gbr.259.10	gamma-aminobutyric acid type B receptor subunit 1-like	turquoise
gbr.2.6	Ubiquitin-conjugating enzyme E2 28	turquoise
gbr.173.2	plexin A3-like	turquoise
gbr.139.19	sperm-associated antigen 1	turquoise
gbr.16.34	transcription initiation factor TFIID subunit 11	turquoise
gbr.120.30_gbr.120.31	phospholipid-transporting ATPase ID-like isoform X1	turquoise
gbr.103.3	transmembrane protein 131-like isoform X2	turquoise
gbr.35.77	angiopoietin-1 receptor-like isoform X3	turquoise
gbr.72.23	synaptosomal-associated protein 25-like isoform X6	turquoise
gbr.157.8	protein tyrosine phosphatase type IVA 1	turquoise
gbr.157.29	uncharacterized protein LOC110985082	turquoise
gbr.91.11	immunoglobulin superfamily DCC subclass member 3	turquoise
gbr.110.72	protein kinase C epsilon type-like isoform X2	turquoise
gbr.392.14	AN1-type zinc finger protein 2A-like	turquoise
gbr.4.113	glycerol-3-phosphate dehydrogenase, mitochondrial-like	turquoise
gbr.393.1	transcription factor 20	turquoise
gbr.18.28	microtubule-actin cross-linking factor 1 isoform X1	turquoise
gbr.25.27	rab-like protein 3 isoform X1	turquoise
gbr.3.85	inositol polyphosphate-5-phosphatase A-like isoform X1	turquoise
gbr.81.103	calcium-binding protein 39-like	turquoise
gbr.85.22	fos-related antigen 1-like isoform X1	turquoise
gbr.283.40	non-POU domain-containing octamer-binding protein-like isoform X3	turquoise
gbr.156.3	adhesion G protein-coupled receptor L2-like isoform X1	turquoise
gbr.87.4_gbr.87.5	high affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A isoform X1	turquoise
gbr.210.14	protein KRI1 homolog	turquoise
gbr.58.204	PR domain zinc finger protein 2-like	turquoise
gbr.1.53	cAMP-dependent protein kinase catalytic subunit alpha-like isoform X2	turquoise
gbr.182.62	uncharacterized protein LOC110978001 isoform X9	turquoise
gbr.83.56	unconventional myosin-IXa-like	turquoise
gbr.379.5	piezo-type mechanosensitive ion channel component 1-like	turquoise
gbr.39.23	potassium voltage-gated channel protein Shal-like isoform X1	turquoise
gbr.74.9	la-related protein 4-like isoform X1	turquoise
gbr.225.14	cytoplasmic dynein 1 intermediate chain 2 isoform X1	turquoise
gbr.651.1	mucin-4-like isoform X1	turquoise
gbr.12.4	pinin	turquoise
gbr.8.108	protein FAM207A	turquoise
gbr.39.48	protein MON2 homolog isoform X1	turquoise
gbr.572.1	neurogenic locus notch homolog protein 1-like isoform X1	turquoise
gbr.60.74	membrane-associated phosphatidylinositol transfer protein 1-like isoform X1	turquoise
gbr.371.2	histone-lysine N-methyltransferase SETDB1-like isoform X2	turquoise
gbr.5.4	epidermal growth factor receptor-like isoform X1	turquoise
gbr.276.22	E3 ubiquitin-protein ligase MIB2-like	turquoise
gbr.216.24	catenin delta-2-like isoform X1	turquoise
gbr.286.16	splicing regulatory glutamine/lysine-rich protein 1-like	turquoise
gbr.28.52	trichohyalin-like isoform X3	turquoise
gbr.32.19	IST1 homolog isoform X1	turquoise
gbr.177.35	zinc finger protein 318	turquoise
gbr.22.4	B-cell lymphoma 3 protein	turquoise
gbr.4.115	feline leukemia virus subgroup C receptor-related protein 2	turquoise
gbr.110.59	pleckstrin homology domain-containing family H member 1 isoform X1	turquoise
gbr.6.88	CCR4-NOT transcription complex subunit 3 isoform X1	turquoise
gbr.92.5	transducin-like enhancer protein 4 isoform X3	turquoise
gbr.377.5	F-BAR and double SH3 domains protein 2-like	turquoise
gbr.92.6	Transducin-like enhancer protein 1	turquoise
gbr.83.29	SH2 domain-containing adapter protein F-like isoform X1	turquoise
gbr.72.120	---NA---	turquoise
gbr.58.112	protein phosphatase 1 regulatory subunit 12A isoform X1	turquoise
gbr.120.33	cyclin-dependent kinase 7 isoform X1	turquoise
gbr.55.62_gbr.55.63	large neutral amino acids transporter small subunit 1-like	turquoise
gbr.191.43	Rho guanine nucleotide exchange factor 26	turquoise
gbr.45.49	phosphatidylinositol-binding clathrin assembly protein LAP-like isoform X10	turquoise
gbr.81.83	glypican-4	turquoise
gbr.381.13	choline transporter-like protein 1 isoform X1	turquoise
gbr.40.16	stromal interaction molecule 1-like	turquoise
gbr.236.2	CCR4-NOT transcription complex subunit 4 isoform X1	turquoise
gbr.8.46	oocyte zinc finger protein XlCOF6-like	turquoise
gbr.183.10_gbr.183.11	fasciculation and elongation protein zeta-2-like isoform X2	turquoise
gbr.120.12_gbr.120.14_gbr.120.11	small conductance calcium-activated potassium channel protein 2-like isoform X1	turquoise
gbr.52.64	Inositol 1,4,5-trisphosphate receptor type 1	turquoise
gbr.61.1	E3 ubiquitin-protein ligase MYCBP2	turquoise
gbr.503.10	leucine carboxyl methyltransferase 1	turquoise
gbr.133.9	huntingtin-interacting protein 1-like isoform X2	turquoise
gbr.134.38	syntaxin-binding protein 5-like	turquoise
gbr.1.22	microtubule-associated serine/threonine-protein kinase 3-like isoform X1	turquoise
gbr.510.7	uncharacterized protein LOC110988154 isoform X1	turquoise
gbr.219.3_gbr.219.4_gbr.219.6	eIF-2-alpha kinase GCN2-like	turquoise
gbr.26.51	ubiquitin carboxyl-terminal hydrolase 36 isoform X2	turquoise
gbr.7.47	Docking protein 5	turquoise
gbr.405.13	serine/arginine repetitive matrix protein 1-like	turquoise
gbr.422.12_gbr.422.13	F-actin-monooxygenase MICAL3-like isoform X1	turquoise
gbr.77.97	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase-like	turquoise
gbr.85.18	Hypothetical predicted protein	turquoise
gbr.114.3	AT-rich interactive domain-containing protein 2 isoform X1	turquoise
gbr.412.5	uncharacterized protein LOC110987325	turquoise
gbr.178.15	neurogenic locus notch homolog protein 1-like isoform X3	turquoise
gbr.149.25_gbr.149.22	NAD(P)H-hydrate epimerase	turquoise
gbr.74.12	sodium bicarbonate cotransporter	turquoise
gbr.12.74	nesprin-1-like isoform X1	turquoise
gbr.340.18	chondroitin sulfate proteoglycan 4-like	turquoise
gbr.108.31	nucleolar protein 56	turquoise
gbr.90.146	26S proteasome non-ATPase regulatory subunit 4	turquoise
gbr.412.14	furin isoform X2	turquoise
gbr.304.5	histone-lysine N-methyltransferase 2C-like isoform X1	turquoise
gbr.181.27_gbr.181.26	adenomatous polyposis coli protein isoform X1	turquoise
gbr.115.4	ubiquitin-associated and SH3 domain-containing protein B-like	turquoise
gbr.370.26	DENN domain-containing protein 1B-like isoform X2	turquoise
gbr.189.12	USP6 N-terminal-like protein	turquoise
gbr.217.31_gbr.217.33_gbr.217.34	branched-chain-amino-acid aminotransferase, cytosolic-like isoform X2	turquoise
gbr.127.13_gbr.127.13_gbr.127.14	rap guanine nucleotide exchange factor 4-like	turquoise
gbr.206.3	RIMS-binding protein 2-like isoform X2	turquoise
gbr.76.92	non-canonical poly(A) RNA polymerase PAPD5-like	turquoise
gbr.15.47	protein FAM110B-like	turquoise
gbr.72.116	constitutive coactivator of peroxisome proliferator-activated receptor gamma-like	turquoise
gbr.80.39	brain acid soluble protein 1-like	turquoise
gbr.273.20	exportin-5 isoform X1	turquoise
gbr.2.9	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN-like	turquoise
gbr.331.6	cGMP-dependent 3',5'-cyclic phosphodiesterase-like isoform X5	turquoise
gbr.41.9	lysine-specific demethylase 8	turquoise
gbr.63.51_gbr.63.52	mirror-image polydactyly gene 1 protein isoform X1	turquoise
gbr.81.87	dedicator of cytokinesis protein 9-like isoform X2	turquoise
gbr.10.1	Golgi apparatus protein 1	turquoise
gbr.72.85	fibrous sheath CABYR-binding protein-like isoform X1	turquoise
gbr.291.16	axonemal 84 kDa protein-like isoform X2	turquoise
gbr.329.2_gbr.329.3	piggyBac transposable element-derived protein 4-like	turquoise
gbr.49.51	SLIT-ROBO Rho GTPase-activating protein 1	turquoise
gbr.153.39	Krueppel-like factor 5	turquoise
gbr.6.213	kinesin-like protein KIF19	turquoise
gbr.42.2	transcriptional enhancer factor TEF-1-like isoform X1	turquoise
gbr.4.9	bcl-2-like protein 1 isoform X4	turquoise
gbr.139.9	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase-like	turquoise
gbr.85.41	pleckstrin homology domain-containing family D member 1-like isoform X1	turquoise
gbr.163.49	kinesin-like protein KIF16B isoform X1	turquoise
gbr.35.26	uncharacterized protein LOC110989561 isoform X2	turquoise
gbr.133.27	cilia- and flagella-associated protein 70-like isoform X1	turquoise
gbr.23.16	CWF19-like protein 2	turquoise
gbr.221.84	arf-GAP domain and FG repeat-containing protein 1-like	turquoise
gbr.345.3	spectrin beta chain, non-erythrocytic 5-like isoform X2	turquoise
gbr.11.37	ADP-ribosylation factor GTPase-activating protein 1-like isoform X2	turquoise
gbr.6.58	exocyst complex component 7-like isoform X2	turquoise
gbr.4.42_gbr.4.41	potassium voltage-gated channel subfamily KQT member 1-like isoform X1	turquoise
gbr.415.14	protein strawberry notch homolog 1 isoform X1	turquoise
gbr.58.118	zinc finger protein castor homolog 1-like isoform X1	turquoise
gbr.44.87	unconventional myosin-X-like isoform X1	turquoise
gbr.427.7	ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1-like isoform X1	turquoise
gbr.12.59	mitochondrial basic amino acids transporter-like	turquoise
gbr.154.26	inverted formin-2-like isoform X2	turquoise
gbr.104.49	zinc finger homeobox protein 4-like	turquoise
gbr.226.3	E3 ubiquitin-protein ligase CHIP-like	turquoise
gbr.278.6	sorting nexin-6-like	turquoise
gbr.2.122	GTP-binding protein SAR1b-like	turquoise
gbr.108.21_gbr.108.19	shootin-1-like isoform X2	turquoise
gbr.34.5	dynactin subunit 2-like	turquoise
gbr.458.6	WD repeat and SOCS box-containing protein 1	turquoise
gbr.460.12	ran-binding protein 3 isoform X2	turquoise
gbr.184.12	extensin-like	turquoise
gbr.108.16	probable JmjC domain-containing histone demethylation protein 2C isoform X1	turquoise
gbr.49.20	ELKS/Rab6-interacting/CAST family member 1-like	turquoise
gbr.71.21	uncharacterized protein LOC110980625 isoform X3	turquoise
gbr.31.47	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1-like	turquoise
gbr.447.9	peptidyl-glycine alpha-amidating monooxygenase isoform X1	turquoise
gbr.31.3	nucleolar RNA helicase 2-like	turquoise
gbr.174.21	cyclin-dependent kinase 17-like isoform X1	turquoise
gbr.325.12	---NA---	turquoise
gbr.66.35	zinc finger protein 64	turquoise
gbr.65.37	acetyl-coenzyme A synthetase 2-like, mitochondrial isoform X1	turquoise
gbr.182.34	D-beta-hydroxybutyrate dehydrogenase, mitochondrial-like	turquoise
gbr.123.2	ras-related protein Rab-5B	turquoise
gbr.40.121	short coiled-coil protein A	turquoise
gbr.245.6	dynamin-binding protein-like isoform X2	turquoise
gbr.7.126	tetratricopeptide repeat protein 14	turquoise
gbr.208.46	rasGAP-activating-like protein 1 isoform X2	turquoise
gbr.99.33	protein phosphatase 1 regulatory subunit 14C-like	turquoise
gbr.12.115	neurexin-1-like isoform X1	turquoise
gbr.485.17	E3 ubiquitin-protein ligase TRIM37-like	turquoise
gbr.252.25_gbr.252.26	C-Jun-amino-terminal kinase-interacting protein 4-like	turquoise
gbr.235.16	transcription factor SOX-5-like	turquoise
gbr.521.1	F-box/LRR-repeat protein 2	turquoise
gbr.34.78	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1-like	turquoise
